TÃªn chiáº¿n dá»ch,TÃªn quáº£ng cÃ¡o,NgÃ y,Sá» tiá»n ÄÃ£ chi tiÃªu (VND),LÆ°á»£t báº¯t Äáº§u cuá»c trÃ² chuyá»n qua tin nháº¯n,NgÆ°á»i tiáº¿p cáº­n,LÆ°á»£t hiá»n thá»,Táº§n suáº¥t,LÆ°á»£t click vÃ o áº£nh,LÆ°á»£t phÃ¡t video trong tá»i thiá»u 3 giÃ¢y,ThruPlay,LÆ°á»£t bÃ y tá» cáº£m xÃºc vá» bÃ i viáº¿t,BÃ¬nh luáº­n vá» bÃ i viáº¿t,LÆ°á»£t chia sáº» bÃ i viáº¿t,LÆ°á»£t lÆ°u bÃ i viáº¿t,LÆ°á»£t thÃ­ch trÃªn Facebook,LÆ°á»£t click vÃ o liÃªn káº¿t,LÆ°á»£t báº¯t Äáº§u bÃ¡o cÃ¡o,LÆ°á»£t káº¿t thÃºc bÃ¡o cÃ¡o
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-28,4013,,24,25,"1,04166667",,16,5,1,,,,,,2026-04-28,2026-04-28
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-04-28,56,,1,1,1,,1,1,,,,,,,2026-04-28,2026-04-28
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-04-27,3353,1,12,13,"1,08333333",,6,3,,,,,1,1,2026-04-27,2026-04-27
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-04-27,77345,6,369,434,"1,17615176",,196,64,2,,,,,9,2026-04-27,2026-04-27
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-27,58436,3,307,371,"1,20846906",,108,38,1,,1,,,12,2026-04-27,2026-04-27
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928090599967181,2026-04-27,812,,2,2,1,,2,,,,,,,,2026-04-27,2026-04-27
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-04-27,139990,23,942,1118,"1,18683652",,561,167,7,1,,,,43,2026-04-27,2026-04-27
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-04-27,4621,,37,39,"1,05405405",,18,6,,,,,,,2026-04-27,2026-04-27
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-04-27,37091,,137,152,"1,10948905",,84,21,1,,,,,,2026-04-27,2026-04-27
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923469843762590,2026-04-27,89740,1,402,533,"1,32587065",,191,70,2,,,,,8,2026-04-27,2026-04-27
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-27,16460,,344,433,"1,25872093",,114,42,,,,,,,2026-04-27,2026-04-27
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122128996677138166,2026-04-27,3022,,13,13,1,,3,2,,,,,,,2026-04-27,2026-04-27
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-04-27,1861,,7,7,1,,2,2,,,,,,,2026-04-27,2026-04-27
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260328 - 122267740838062219,2026-04-27,0,1,0,0,0,,,,,,,,,,2026-04-27,2026-04-27
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-04-27,61086,2,350,401,"1,14571429",,117,39,,,1,1,,3,2026-04-27,2026-04-27
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-27,137771,16,996,1170,"1,1746988",,421,184,1,1,1,,,43,2026-04-27,2026-04-27
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267988968062219,2026-04-27,6927,,51,57,"1,11764706",,9,5,,,,,,,2026-04-27,2026-04-27
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-04-27,621,,7,8,"1,14285714",,4,2,,,,,,,2026-04-27,2026-04-27
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-27,439,,3,3,1,,,,,,,,,,2026-04-27,2026-04-27
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-27,30458,1,148,194,"1,31081081",,65,12,,,,,,2,2026-04-27,2026-04-27
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-04-27,148,,2,2,1,,,,,,,,,,2026-04-27,2026-04-27
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-27,29122,,391,509,"1,30179028",,103,21,,,1,,,12,2026-04-27,2026-04-27
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-27,27718,1,277,336,"1,21299639",,79,33,1,,,,,4,2026-04-27,2026-04-27
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-04-27,28279,,408,608,"1,49019608",,81,15,,,,,,2,2026-04-27,2026-04-27
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-04-27,41114,1,446,559,"1,25336323",,95,22,1,,,,,3,2026-04-27,2026-04-27
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-04-27,57308,5,281,330,"1,17437722",,100,33,1,,,,,7,2026-04-27,2026-04-27
S03 - MD x BKC - Message,F25 Ultra - 260417 - 939155645527343,2026-04-27,3586,,9,9,1,,5,3,,,,,,,2026-04-27,2026-04-27
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-04-27,3980,,21,23,"1,0952381",,7,6,,,,,,,2026-04-27,2026-04-27
S03 - PD x AKIA - Message,Qrevo C Pro - 260426 - 1397796915698979,2026-04-27,34559,2,134,167,"1,24626866",,53,16,2,,,,,1,2026-04-27,2026-04-27
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-27,25507,1,96,114,"1,1875",,40,11,,,,,,2,2026-04-27,2026-04-27
S03 - MD x BKC - Message,Qrevo Edge 2 - 260408 - 932166802892894,2026-04-27,18976,2,54,64,"1,18518519",,20,7,,,,,,4,2026-04-27,2026-04-27
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-27,29662,1,176,218,"1,23863636",,66,18,1,,,,,,2026-04-27,2026-04-27
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-04-27,230,,4,4,1,,3,,,,,,,,2026-04-27,2026-04-27
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260421 - 1435420288601486,2026-04-27,10,,1,1,1,,,,,,,,,,2026-04-27,2026-04-27
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-27,29486,2,104,117,"1,125",,49,18,1,1,,,,4,2026-04-27,2026-04-27
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-04-27,8569,,175,203,"1,16",,35,8,,,,,,1,2026-04-27,2026-04-27
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-27,56534,5,573,624,"1,08900524",,340,99,1,1,,,,6,2026-04-27,2026-04-27
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928090599967181,2026-04-26,5469,,7,9,"1,28571429",,4,2,,,,,,,2026-04-26,2026-04-26
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-04-26,573,,5,8,"1,6",,3,3,,,,,,,2026-04-26,2026-04-26
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-04-26,15589,1,59,63,"1,06779661",,35,11,,,,,,3,2026-04-26,2026-04-26
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-26,5824,1,23,26,"1,13043478",,8,5,,,,,,2,2026-04-26,2026-04-26
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-04-26,137030,15,756,865,"1,14417989",,373,118,1,,,,,19,2026-04-26,2026-04-26
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-26,62552,2,254,301,"1,18503937",,109,38,1,,,,,5,2026-04-26,2026-04-26
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-04-26,2065,1,7,7,1,,4,1,,,,,,,2026-04-26,2026-04-26
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-04-26,161999,18,576,660,"1,14583333",,368,108,1,1,,,,29,2026-04-26,2026-04-26
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122128996677138166,2026-04-26,66186,,177,251,"1,4180791",,80,33,,,,,,2,2026-04-26,2026-04-26
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-26,172121,17,1173,1400,"1,19352089",,469,180,1,,1,,,42,2026-04-26,2026-04-26
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923469843762590,2026-04-26,34276,,91,108,"1,18681319",,53,19,,,,,,4,2026-04-26,2026-04-26
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-26,38202,3,171,205,"1,19883041",,87,25,1,1,,,,6,2026-04-26,2026-04-26
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-26,14244,,248,297,"1,19758065",,101,37,1,2,,,,,2026-04-26,2026-04-26
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-04-26,2636,,8,8,1,,2,1,,,,,,,2026-04-26,2026-04-26
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-26,63786,6,671,849,"1,26527571",,217,65,,1,,,,12,2026-04-26,2026-04-26
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-26,65139,6,498,544,"1,09236948",,292,99,1,2,1,,,9,2026-04-26,2026-04-26
S03 - PD x AKIA - Message,F25 Ultra - 260420 - 1391835136295157,2026-04-26,34731,2,124,159,"1,28225806",,75,21,,,,,,3,2026-04-26,2026-04-26
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-04-26,9016,,23,24,"1,04347826",,7,1,,,,,,,2026-04-26,2026-04-26
S03 - PD x AKIA - Message,Qrevo C Pro - 260426 - 1397796915698979,2026-04-26,191,,1,1,1,,,,,,,,,,2026-04-26,2026-04-26
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-04-26,25352,,288,488,"1,69444444",,58,15,2,1,,,,3,2026-04-26,2026-04-26
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-04-26,46021,1,393,533,"1,3562341",,83,29,1,,,,,8,2026-04-26,2026-04-26
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-04-26,70921,,195,233,"1,19487179",,79,23,1,,,,,1,2026-04-26,2026-04-26
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-04-26,33912,,94,107,"1,13829787",,35,14,1,,,,,1,2026-04-26,2026-04-26
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-26,40925,,149,189,"1,26845638",,61,12,1,,,,,1,2026-04-26,2026-04-26
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-26,41413,,166,200,"1,20481928",,77,17,2,,,,,4,2026-04-26,2026-04-26
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-26,43147,2,207,274,"1,3236715",,76,21,,,1,,,1,2026-04-26,2026-04-26
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-04-26,14948,,208,295,"1,41826923",,41,9,1,,,,,1,2026-04-26,2026-04-26
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-26,6250,,17,18,"1,05882353",,9,,,,,,,1,2026-04-26,2026-04-26
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-26,33234,,296,421,"1,4222973",,101,31,3,,,,,12,2026-04-26,2026-04-26
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-25,33154,1,86,98,"1,13953488",,42,16,1,,,,,2,2026-04-25,2026-04-25
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-25,4676,,75,83,"1,10666667",,17,7,,,,,,2,2026-04-25,2026-04-25
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-04-25,1658,1,15,20,"1,33333333",,5,2,,,,,,1,2026-04-25,2026-04-25
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-04-25,3538,,8,8,1,,4,2,,,,,,1,2026-04-25,2026-04-25
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-25,152080,11,971,1229,"1,26570546",,421,187,1,1,1,,,33,2026-04-25,2026-04-25
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-04-25,98229,5,650,755,"1,16153846",,290,71,,1,,,,11,2026-04-25,2026-04-25
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-25,38522,2,207,235,"1,1352657",,67,24,1,,,,,8,2026-04-25,2026-04-25
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122128996677138166,2026-04-25,40710,,234,311,"1,32905983",,88,26,1,,,,,1,2026-04-25,2026-04-25
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-25,0,1,0,0,0,,,,,,,,,,2026-04-25,2026-04-25
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-25,42296,3,630,641,"1,01746032",,336,91,1,,,,,3,2026-04-25,2026-04-25
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-25,19399,2,88,109,"1,23863636",,46,14,1,1,,,,4,2026-04-25,2026-04-25
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-25,68,,1,1,1,,1,,,,,,,,2026-04-25,2026-04-25
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-04-25,28923,2,258,323,"1,25193798",,55,21,,,,,,2,2026-04-25,2026-04-25
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-04-25,25380,,369,572,"1,5501355",,91,21,1,,,,,2,2026-04-25,2026-04-25
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-25,25750,,196,246,"1,25510204",,62,20,,,,,,1,2026-04-25,2026-04-25
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-25,16796,,77,81,"1,05194805",,23,8,1,,1,,,1,2026-04-25,2026-04-25
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-25,29326,,408,552,"1,35294118",,116,34,,,,,,7,2026-04-25,2026-04-25
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-25,28768,1,164,201,"1,22560976",,59,17,,,,,,2,2026-04-25,2026-04-25
S03 - PD x AKIA - Message,F25 Ultra - 260420 - 1391835136295157,2026-04-25,28357,,124,160,"1,29032258",,68,17,1,,,,,,2026-04-25,2026-04-25
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-04-25,40575,2,180,204,"1,13333333",,54,19,,,,,,2,2026-04-25,2026-04-25
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-04-25,17892,1,231,353,"1,52813853",,54,9,1,,,,,,2026-04-25,2026-04-25
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-04-25,21326,1,83,102,"1,22891566",,17,6,,,,,,2,2026-04-25,2026-04-25
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-24,28304,2,247,333,"1,34817814",,70,29,,,,,,6,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-04-24,612,,6,6,1,,4,,,,,,,,2026-04-24,2026-04-24
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-24,38735,1,456,482,"1,05701754",,232,69,1,1,,,,2,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,F25 Ultra - 260408 - 1381932690618735,2026-04-24,6604,,14,16,"1,14285714",,6,1,,,,,,,2026-04-24,2026-04-24
S03 - MD x BKC - Message,Qrevo Edge 2 - 260408 - 932166802892894,2026-04-24,31454,,72,75,"1,04166667",,22,6,1,,,,,2,2026-04-24,2026-04-24
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-24,39190,2,181,187,"1,03314917",,67,18,,,,,,2,2026-04-24,2026-04-24
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-04-24,152667,7,1001,1151,"1,14985015",,430,139,1,1,1,,1,26,2026-04-24,2026-04-24
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923469843762590,2026-04-24,21485,,35,40,"1,14285714",,14,4,,,,,,,2026-04-24,2026-04-24
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928090599967181,2026-04-24,3755,,7,8,"1,14285714",,4,1,,,,,,,2026-04-24,2026-04-24
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-04-24,62660,1,212,245,"1,15566038",,127,41,1,1,,,,7,2026-04-24,2026-04-24
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122128996677138166,2026-04-24,47643,,173,275,"1,58959538",,86,20,,,,,,1,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-04-24,9740,,48,52,"1,08333333",,20,6,,,,,,,2026-04-24,2026-04-24
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-24,149651,15,929,1074,"1,15608181",,345,157,4,,,,,39,2026-04-24,2026-04-24
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-24,1870,,36,44,"1,22222222",,9,3,,1,,,,,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-24,9393,,62,69,"1,11290323",,20,10,,,,,,,2026-04-24,2026-04-24
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-04-24,53637,3,239,298,"1,24686192",,90,24,,,,,,3,2026-04-24,2026-04-24
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-04-24,3168,,12,13,"1,08333333",,5,1,,,,,,1,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1392541482891189,2026-04-24,3176,,5,6,"1,2",,2,1,,,,,,1,2026-04-24,2026-04-24
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-04-24,17641,,208,345,"1,65865385",,57,16,,,,,,,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-04-24,15558,,76,84,"1,10526316",,16,6,,,,,,,2026-04-24,2026-04-24
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-04-24,19416,1,222,369,"1,66216216",,57,15,,,,,,1,2026-04-24,2026-04-24
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-04-24,39452,3,353,467,"1,32294618",,83,22,1,1,,,,4,2026-04-24,2026-04-24
S03 - MD x BKC - Message,Qrevo C Pro - 260423 - 942197301889844,2026-04-24,45390,,84,106,"1,26190476",,25,7,,,,,,,2026-04-24,2026-04-24
S03 - MD x BKC - Message,Qrevo C Pro - 260423 - 943798145063093,2026-04-24,8016,,21,21,1,,3,,,,,,,1,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,F25 Ultra - 260420 - 1391835136295157,2026-04-24,14981,,77,89,"1,15584416",,36,9,,,,,,,2026-04-24,2026-04-24
S03 - MD x BKC - Message,F25 Ultra - 260417 - 939155645527343,2026-04-24,242,,1,1,1,,1,,,,,,,,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-24,22629,,161,189,"1,17391304",,49,11,,,,,,,2026-04-24,2026-04-24
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-24,26568,1,291,408,"1,40206186",,98,26,1,,,1,,10,2026-04-24,2026-04-24
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-24,22067,2,103,113,"1,09708738",,37,9,,,,,,5,2026-04-24,2026-04-24
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-24,23569,,211,267,"1,26540284",,69,13,,,,,,1,2026-04-24,2026-04-24
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-23,20941,2,119,141,"1,18487395",,52,17,,,,,,3,2026-04-23,2026-04-23
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-23,3880,,85,101,"1,18823529",,23,8,,,,,,,2026-04-23,2026-04-23
S03 - PD x AKIA - Message,F25 Ultra - 260408 - 1381932690618735,2026-04-23,7233,,35,40,"1,14285714",,14,3,,,,,,,2026-04-23,2026-04-23
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-04-23,761,,7,7,1,,5,3,,,,,,1,2026-04-23,2026-04-23
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-23,31596,1,267,358,"1,34082397",,75,22,1,1,,,,9,2026-04-23,2026-04-23
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-04-23,1954,,20,23,"1,15",,9,4,,,,,,,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-04-23,24949,3,92,104,"1,13043478",,38,16,,,1,1,,6,2026-04-23,2026-04-23
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-23,4265,1,22,22,1,,10,6,,,,,,4,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923469843762590,2026-04-23,0,1,0,0,0,,,,,,,,,,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-23,79837,4,321,385,"1,19937695",,123,36,1,,,,,5,2026-04-23,2026-04-23
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-04-23,1735,,15,16,"1,06666667",,4,,,,,,,,2026-04-23,2026-04-23
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129001555138166,2026-04-23,36065,1,199,259,"1,30150754",,61,39,1,,,,,3,2026-04-23,2026-04-23
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122128996677138166,2026-04-23,3608,,24,30,"1,25",,10,2,,,,,,,2026-04-23,2026-04-23
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-04-23,5393,,43,44,"1,02325581",,14,3,,,,,,,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-23,174553,16,731,927,"1,26812585",,287,148,4,,,,,28,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 924133513696223,2026-04-23,7206,,15,16,"1,06666667",,3,,,,,,,,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-04-23,1588,,7,8,"1,14285714",,4,,,,,,,,2026-04-23,2026-04-23
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-23,32094,1,315,338,"1,07301587",,170,46,,,,,,2,2026-04-23,2026-04-23
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-04-23,164113,15,778,926,"1,19023136",,386,126,4,1,,,,28,2026-04-23,2026-04-23
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-23,24521,,72,80,"1,11111111",,50,21,1,,,,,2,2026-04-23,2026-04-23
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260421 - 1435420288601486,2026-04-23,465,,4,6,"1,5",,2,,,,,,,,2026-04-23,2026-04-23
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-04-23,21829,2,251,463,"1,84462151",,78,20,1,,,,,4,2026-04-23,2026-04-23
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-04-23,9464,,137,195,"1,42335766",,34,5,2,1,,,,,2026-04-23,2026-04-23
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-04-23,23620,,277,335,"1,20938628",,52,15,1,,,,,7,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Qrevo C Pro - 260423 - 943798145063093,2026-04-23,22515,1,74,92,"1,24324324",,20,7,,,,,,2,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Qrevo C Pro - 260423 - 942197301889844,2026-04-23,27462,,50,65,"1,3",,21,5,,,,,,1,2026-04-23,2026-04-23
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1392541482891189,2026-04-23,22776,,72,93,"1,29166667",,34,10,,,,,,,2026-04-23,2026-04-23
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260421 - 1433016842175164,2026-04-23,20714,,167,314,"1,88023952",,52,14,3,,,,,,2026-04-23,2026-04-23
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-04-23,29025,1,198,238,"1,2020202",,57,17,,,,,,1,2026-04-23,2026-04-23
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260421 - 122132093559138166,2026-04-23,25007,1,119,155,"1,30252101",,34,11,1,,,,,,2026-04-23,2026-04-23
S03 - PD x AKIA - Message,F25 Ultra - 260420 - 1390023573142980,2026-04-23,17974,,81,95,"1,17283951",,34,5,,,,,,,2026-04-23,2026-04-23
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260417 - 122132030565138166,2026-04-23,0,1,0,0,0,,,,,,,,,,2026-04-23,2026-04-23
S03 - PD x MiSmart - Message,Qrevo C Pro - 260414  - 122270673140062219,2026-04-23,27216,1,302,433,"1,43377483",,88,13,,,,,,6,2026-04-23,2026-04-23
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-23,23735,,146,190,"1,30136986",,44,12,,,,,,,2026-04-23,2026-04-23
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-23,26085,,396,555,"1,40151515",,114,31,,,,,,8,2026-04-23,2026-04-23
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-23,29019,1,65,68,"1,04615385",,25,5,,,,,,3,2026-04-23,2026-04-23
